# Sta         Lat(deg)    Long(deg)
ANT2        39.06       8.45 
ANT3        51.20       4.45 
ANTA        36.83       30.61 
ANTB        39.85       242.63 
ANTC        -37.34      288.47 
ANTE        40.15       241.83 
ANTG        45.62       297.99 
ANTH        -30.68      26.72 
ANTI        28.42       345.99 
ANTL        36.89       30.67 
ANTP        37.07       37.37 
ANTV        39.64       239.72 
ANTW        -36.30      142.03 
ANZP        41.12       15.28 
AO01        45.74       7.32 
AOA1        34.16       241.17 
AOBS        -13.81      188.22 
AOML        25.73       279.84 
AOPR        18.35       293.25 
AOUS        44.71       5.06 
APEC        0.33        281.45 
APEL        52.21       5.96 
APEX        36.32       245.07 
API1        38.38       270.62 
APL1        39.16       283.10 
APLI        36.73       355.53 
APLJ        -0.82       307.48 
APMA        0.05        308.90 
APMX        37.35       281.17 
APNT        19.26       204.80 
APOL        -38.76      143.65 
APPL        51.06       355.80 
APRC        41.76       15.54 
APRI        41.60       12.66 
APS1        -0.06       308.83 
APSA        -0.06       308.83 
APSL        -36.97      141.08 
APT1        43.87       5.40 
APTN        44.28       271.54 
APTO        7.88        283.37 
AQNC        45.16       10.43 
AQRA        42.37       13.37 
AQSA        39.72       16.08 
AQUA        32.68       245.51 
AQUI        42.37       13.35 
AQUM        42.33       13.47 
AR27        33.34       242.68 
AR53        33.38       242.52 
ARA1        40.03       356.39 
ARAC        37.89       353.43 
ARAD        46.17       21.34 
ARAN        45.72       5.42 
ARAR        -37.28      142.93 
ARAS        39.95       358.90 
ARAU        6.45        100.28 
ARB2        50.90       262.80 
ARBK        34.89       268.80 
ARBT        35.71       268.37 
ARBU        39.52       8.59 
ARBV        36.36       265.78 
ARBY        36.36       266.42 
ARC1        39.37       16.23 
ARC2        46.67       0.65 
ARCA        7.08        289.24 
ARCC        73.00       274.97 
ARCD        -25.27      148.86 
ARCE        43.50       12.95 
ARCH        38.88       250.24 
ARCL        35.47       266.52 
ARCM        33.54       267.12 
ARCO        -37.21      286.77 
ARCT        36.36       265.69 
ARCY        35.11       267.57 
ARD2        -34.35      146.90 
ARDA        41.11       42.70 
ARDH        45.11       266.82 
ARDL        51.92       0.96 
ARDN        47.78       1.87 
ARDQ        34.08       265.68 
ARDU        41.67       356.26 
ARED        33.21       267.33 
AREG        -16.47      288.51 
AREL        32.10       35.21 
AREQ        -16.47      288.51 
ARES        44.76       358.87 
AREV        -16.47      288.51 
AREZ        43.46       11.87 
ARFL        36.12       265.85 
ARFS        35.32       265.70 
ARFY        36.12       265.82 
ARG1        27.76       344.32 
ARGI        62.00       353.22 
ARGR        45.95       7.00 
ARGS        34.07       266.88 
ARGU        36.05       242.48 
ARHP        33.70       266.40 
ARHR        36.18       266.97 
ARHT        -77.83      166.66 
ARIA        44.24       268.49 
ARIB        42.94       358.74 
ARIS        56.91       354.15 
ARIT        -5.04       32.83 
ARJ6        66.32       18.13 
ARJB        35.85       269.25 
ARJF        -33.63      281.16 
ARK1        35.13       25.27 
ARKI        38.76       23.03 
ARKL        52.80       353.84 
ARLD        47.13       4.49 
ARLI        48.17       237.86 
ARLN        45.71       239.82 
ARLR        34.67       267.62 
ARM1        35.20       241.09 
ARM2        35.20       241.09 
ARM3        36.37       267.63 
ARM4        43.24       2.77 
ARMC        -22.96      145.25 
ARMD        -30.51      151.67 
ARMH        36.35       267.62 
ARMI        6.06        37.56 
ARML        35.92       270.20 
ARMO        33.59       268.19 
ARMY        38.50       241.56 
ARNA        47.95       0.18 
